#学号 平时 期末 总分 班级 学期
2130621057 87 73 77 21制造2 22秋
2130621058 91 82 85 21制造2 22秋
2130621059 91 69 76 21制造2 22秋
2130621060 91 64 72 21制造2 22秋
2130621062 95 92 93 21制造2 22秋
2130621063 92 94 93 21制造2 22秋
2130621064 92 62 71 21制造2 22秋
2130621066 95 80 85 21制造2 22秋
2130621068 95 67 75 21制造2 22秋
2130621069 93 90 91 21制造2 22秋
2130621070 86 79 81 21制造2 22秋
2130621071 93 86 88 21制造2 22秋
2130621072 92 92 92 21制造2 22秋
2130621073 93 83 86 21制造2 22秋
2130621075 95 67 75 21制造2 22秋
2130621076 93 77 82 21制造2 22秋
2130621077 88 79 82 21制造2 22秋
2130621078 95 59 70 21制造2 22秋
2130621079 93 81 85 21制造2 22秋
2130621080 88 81 83 21制造2 22秋
2130621081 91 72 78 21制造2 22秋
2130621082 88 84 85 21制造2 22秋
2130621083 87 77 80 21制造2 22秋
2130621084 89 87 88 21制造2 22秋
2130621085 94 76 81 21制造2 22秋
2130621086 96 55 67 21制造2 22秋
2130621087 92 82 85 21制造2 22秋
2130621088 96 68 76 21制造2 22秋
2130621089 91 77 81 21制造2 22秋
2130621090 86 84 85 21制造2 22秋
2130621092 84 65 71 21制造2 22秋
2130621093 96 87 90 21制造2 22秋
2230722081 91 79 83 22食品科学3 23春
2230722082 100 96 97 22食品科学3 23春
2230722083 84 71 75 22食品科学3 23春
2230722084 95 83 87 22食品科学3 23春
2230722085 95 80 85 22食品科学3 23春
2230722086 99 88 91 22食品科学3 23春
2230722087 98 86 90 22食品科学3 23春
2230722088 86 74 78 22食品科学3 23春
2230722089 85 73 77 22食品科学3 23春
2230722090 93 82 85 22食品科学3 23春
2230722091 94 82 86 22食品科学3 23春
2230722092 99 88 91 22食品科学3 23春
2230722093 93 82 85 22食品科学3 23春
2230722094 90 78 82 22食品科学3 23春
2230722095 91 79 83 22食品科学3 23春
2230722096 96 84 88 22食品科学3 23春
2230722097 93 82 85 22食品科学3 23春
2230722098 96 73 80 22食品科学3 23春
2230722099 93 81 85 22食品科学3 23春
2230722100 100 94 96 22食品科学3 23春
2230722101 95 80 85 22食品科学3 23春
2230722102 99 88 91 22食品科学3 23春
2230722103 94 82 86 22食品科学3 23春
2230722104 95 84 87 22食品科学3 23春
2230722105 100 90 93 22食品科学3 23春
2230722107 100 100 100 22食品科学3 23春
2230722108 95 80 85 22食品科学3 23春
2230722109 98 86 90 22食品科学3 23春
2230722110 91 80 83 22食品科学3 23春
2230722111 100 90 93 22食品科学3 23春
2230722112 94 82 86 22食品科学3 23春
2230722113 95 83 87 22食品科学3 23春
2230722114 95 84 87 22食品科学3 23春
2230722115 88 76 80 22食品科学3 23春
2230722116 91 79 83 22食品科学3 23春
2230722117 95 84 87 22食品科学3 23春
2230722118 99 88 91 22食品科学3 23春
2230722119 98 86 90 22食品科学3 23春
2230722120 96 84 88 22食品科学3 23春
2230724031 93 81 85 22食品科学3 23春
2230725040 96 84 88 22食品科学3 23春
2230723068 82 61 67 22数据1 23春
2230823001 80 58 65 22数据1 23春
2230823002 79 63 68 22数据1 23春
2230823003 92 79 83 22数据1 23春
2230823004 91 69 76 22数据1 23春
2230823005 65 12 28 22数据1 23春
2230823006 89 77 81 22数据1 23春
2230823007 90 79 82 22数据1 23春
2230823008 85 68 73 22数据1 23春
2230823009 89 78 81 22数据1 23春
2230823010 80 51 60 22数据1 23春
2230823011 79 59 65 22数据1 23春
2230823012 82 61 67 22数据1 23春
2230823013 85 66 72 22数据1 23春
2230823014 91 78 82 22数据1 23春
2230823015 84 66 71 22数据1 23春
2230823016 86 72 76 22数据1 23春
2230823017 83 66 71 22数据1 23春
2230823018 78 54 61 22数据1 23春
2230823019 89 69 75 22数据1 23春
2230823020 84 68 73 22数据1 23春
2230823021 88 62 70 22数据1 23春
2230823022 89 71 76 22数据1 23春
2230823023 87 71 76 22数据1 23春
2230823024 95 84 87 22数据1 23春
2230823025 84 66 71 22数据1 23春
2230823026 94 74 80 22数据1 23春
2230823027 94 85 88 22数据1 23春
2230823028 88 69 75 22数据1 23春
2230823029 91 79 83 22数据1 23春
2230823030 81 62 68 22数据1 23春
2230823031 85 67 72 22数据1 23春
2230823032 94 85 88 22数据1 23春
2230823033 84 71 75 22数据1 23春
2230823034 85 68 73 22数据1 23春
2230823035 83 65 70 22数据1 23春
2230823036 83 61 68 22数据1 23春
2230823037 89 76 80 22数据1 23春
2230823038 89 69 75 22数据1 23春
2230823039 86 74 78 22数据1 23春
2230823040 91 76 81 22数据1 23春
2230823041 90 63 71 22数据1 23春
2230823042 83 64 70 22数据1 23春
2230823043 83 61 68 22数据1 23春
2230823044 85 66 72 22数据1 23春
2230823045 88 77 80 22数据1 23春
2230823046 78 54 61 22数据1 23春
1910823038 82 68 72 22数据2 23春
2230823048 91 86 88 22数据2 23春
2230823049 86 80 82 22数据2 23春
2230823050 81 62 68 22数据2 23春
2230823051 91 71 77 22数据2 23春
2230823052 85 71 75 22数据2 23春
2230823053 93 74 80 22数据2 23春
2230823054 84 71 75 22数据2 23春
2230823055 82 66 71 22数据2 23春
2230823056 68 27 39 22数据2 23春
2230823057 85 75 78 22数据2 23春
2230823058 80 69 72 22数据2 23春
2230823059 84 72 76 22数据2 23春
2230823060 79 61 66 22数据2 23春
2230823061 83 69 73 22数据2 23春
2230823062 92 93 93 22数据2 23春
2230823063 89 78 81 22数据2 23春
2230823064 83 64 70 22数据2 23春
2230823066 81 67 71 22数据2 23春
2230823067 83 67 72 22数据2 23春
2230823068 89 71 76 22数据2 23春
2230823069 84 68 73 22数据2 23春
2230823070 76 58 63 22数据2 23春
2230823071 81 68 72 22数据2 23春
2230823072 89 63 71 22数据2 23春
2230823073 100 56 69 22数据2 23春
2230823074 82 66 71 22数据2 23春
2230823075 85 74 77 22数据2 23春
2230823076 83 69 73 22数据2 23春
2230823077 81 67 71 22数据2 23春
2230823078 80 66 70 22数据2 23春
2230823079 95 97 96 22数据2 23春
2230823080 85 73 77 22数据2 23春
2230823081 89 69 75 22数据2 23春
2230823082 88 71 76 22数据2 23春
2230823083 81 70 73 22数据2 23春
2230823084 80 62 67 22数据2 23春
2230823085 79 61 66 22数据2 23春
2230823086 83 65 70 22数据2 23春
2230823087 89 70 76 22数据2 23春
2230823088 85 71 75 22数据2 23春
2230823089 82 62 68 22数据2 23春
2230823090 83 72 75 22数据2 23春
2230823091 83 75 77 22数据2 23春
2230823092 85 72 76 22数据2 23春
2230823093 62 0 19 22数据2 23春
2230823094 92 86 88 22数据2 23春
2230823095 86 70 75 22数据2 23春
1810511034 95 66 75 20数学1 23春
1910724059 87 74 78 22通信1 23春
2230618001 82 69 73 22通信1 23春
2230618002 87 74 78 22通信1 23春
2230618003 84 72 76 22通信1 23春
2230618005 91 79 83 22通信1 23春
2230618006 85 70 75 22通信1 23春
2230618007 84 71 75 22通信1 23春
2230618008 81 65 70 22通信1 23春
2230618009 87 70 75 22通信1 23春
2230618010 93 81 85 22通信1 23春
2230618011 75 60 65 22通信1 23春
2230618012 87 74 78 22通信1 23春
2230618013 80 65 70 22通信1 23春
2230618014 95 83 87 22通信1 23春
2230618015 80 68 72 22通信1 23春
2230618016 100 90 93 22通信1 23春
2230618017 70 56 60 22通信1 23春
2230618018 79 66 70 22通信1 23春
2230618019 85 72 76 22通信1 23春
2230618020 85 72 76 22通信1 23春
2230618022 95 84 87 22通信1 23春
2230618023 85 70 75 22通信1 23春
2230618024 95 80 85 22通信1 23春
2230618025 96 85 88 22通信1 23春
2230618026 82 69 73 22通信1 23春
2230618027 80 67 71 22通信1 23春
2230618028 85 72 76 22通信1 23春
2230618029 94 83 86 22通信1 23春
2230618030 77 64 68 22通信1 23春
2230618031 73 59 63 22通信1 23春
2230618033 87 70 75 22通信1 23春
2230618034 84 71 75 22通信1 23春
2230618035 85 72 76 22通信1 23春
2230618036 91 79 83 22通信1 23春
2230618037 86 73 77 22通信1 23春
2230618038 71 58 62 22通信1 23春
2230618039 79 66 70 22通信1 23春
2230618040 75 61 65 22通信1 23春
2230618041 66 46 52 22通信1 23春
2230618042 81 68 72 22通信1 23春
2230618043 89 76 80 22通信1 23春
2230618044 78 64 68 22通信1 23春
2230618045 77 64 68 22通信1 23春
2230618046 82 69 73 22通信1 23春
2230618047 83 69 73 22通信1 23春
2230618048 82 69 73 22通信1 23春
2230618049 75 61 65 22通信1 23春
2230618050 95 80 85 22通信1 23春
2230618091 85 73 77 22通信1 23春
2230618021 80 65 70 22通信2 23春
2230618051 90 78 82 22通信2 23春
2230618052 89 77 81 22通信2 23春
2230618053 72 58 62 22通信2 23春
2230618054 77 63 67 22通信2 23春
2230618055 77 64 68 22通信2 23春
2230618056 81 67 71 22通信2 23春
2230618057 77 63 67 22通信2 23春
2230618058 93 81 85 22通信2 23春
2230618059 80 67 71 22通信2 23春
2230618060 84 71 75 22通信2 23春
2230618061 81 68 72 22通信2 23春
2230618062 91 75 80 22通信2 23春
2230618063 81 68 72 22通信2 23春
2230618064 95 83 87 22通信2 23春
2230618065 75 62 66 22通信2 23春
2230618066 81 69 73 22通信2 23春
2230618067 76 62 66 22通信2 23春
2230618068 95 80 85 22通信2 23春
2230618069 89 77 81 22通信2 23春
2230618070 80 67 71 22通信2 23春
2230618071 84 71 75 22通信2 23春
2230618072 77 63 67 22通信2 23春
2230618073 80 67 71 22通信2 23春
2230618074 80 67 71 22通信2 23春
2230618075 85 73 77 22通信2 23春
2230618076 80 67 71 22通信2 23春
2230618077 91 75 80 22通信2 23春
2230618078 82 69 73 22通信2 23春
2230618079 72 58 62 22通信2 23春
2230618080 81 68 72 22通信2 23春
2230618081 73 59 63 22通信2 23春
2230618082 72 58 62 22通信2 23春
2230618083 71 56 61 22通信2 23春
2230618084 97 80 85 22通信2 23春
2230618085 81 68 72 22通信2 23春
2230618086 85 70 75 22通信2 23春
2230618087 77 64 68 22通信2 23春
2230618088 79 66 70 22通信2 23春
2230618089 91 79 83 22通信2 23春
2230618090 91 79 83 22通信2 23春
2230618092 95 83 87 22通信2 23春
2230618093 79 66 70 22通信2 23春
2230618094 95 80 85 22通信2 23春
2230618095 80 65 70 22通信2 23春
2230618096 72 59 63 22通信2 23春
2230618097 77 63 67 22通信2 23春
2230618098 65 44 50 22通信2 23春
2230618099 83 65 70 22通信2 23春
2230618100 89 77 81 22通信2 23春
2230618101 86 73 77 22通信2 23春
2030520029 78 56 63 22网工1 23春
2230821001 83 67 72 22网工1 23春
2230821002 83 68 73 22网工1 23春
2230821003 82 67 72 22网工1 23春
2230821004 89 81 83 22网工1 23春
2230821006 87 70 75 22网工1 23春
2230821007 88 69 75 22网工1 23春
2230821008 86 73 77 22网工1 23春
2230821009 82 69 73 22网工1 23春
2230821010 89 80 83 22网工1 23春
2230821011 90 69 75 22网工1 23春
2230821012 82 65 70 22网工1 23春
2230821013 91 83 85 22网工1 23春
2230821014 84 75 78 22网工1 23春
2230821015 90 69 75 22网工1 23春
2230821016 86 70 75 22网工1 23春
2230821017 85 70 75 22网工1 23春
2230821018 88 70 75 22网工1 23春
2230821019 83 69 73 22网工1 23春
2230821020 95 75 81 22网工1 23春
2230821021 89 69 75 22网工1 23春
2230821022 79 61 66 22网工1 23春
2230821023 81 65 70 22网工1 23春
2230821024 84 71 75 22网工1 23春
2230821025 82 67 72 22网工1 23春
2230821026 84 72 76 22网工1 23春
2230821027 76 53 60 22网工1 23春
2230821028 83 67 72 22网工1 23春
2230821029 87 78 81 22网工1 23春
2230821030 83 69 73 22网工1 23春
2230821031 84 50 60 22网工1 23春
2230821032 95 88 90 22网工1 23春
2230821033 88 69 75 22网工1 23春
2230821034 84 68 73 22网工1 23春
2230821035 81 66 71 22网工1 23春
2230821036 80 60 66 22网工1 23春
2230821037 80 59 65 22网工1 23春
2230821038 85 64 70 22网工1 23春
2230821039 80 62 67 22网工1 23春
2230821040 88 81 83 22网工1 23春
2230821041 83 68 73 22网工1 23春
2230821042 91 89 90 22网工1 23春
2230821043 81 65 70 22网工1 23春
2230821044 78 55 62 22网工1 23春
2230821045 87 77 80 22网工1 23春
2230821046 83 71 75 22网工1 23春
2230821047 81 66 71 22网工1 23春
2230821048 85 70 75 22网工1 23春
2230821049 80 66 70 22网工1 23春
2230821050 86 73 77 22网工1 23春
2230821051 83 71 75 22网工2 23春
2230821052 84 71 75 22网工2 23春
2230821053 86 74 78 22网工2 23春
2230821054 80 67 71 22网工2 23春
2230821055 84 71 75 22网工2 23春
2230821056 83 65 70 22网工2 23春
2230821057 89 81 83 22网工2 23春
2230821058 92 82 85 22网工2 23春
2230821059 83 69 73 22网工2 23春
2230821060 81 66 71 22网工2 23春
2230821061 83 67 72 22网工2 23春
2230821062 81 51 60 22网工2 23春
2230821063 93 89 90 22网工2 23春
2230821064 85 70 75 22网工2 23春
2230821065 85 74 77 22网工2 23春
2230821066 82 57 65 22网工2 23春
2230821067 88 69 75 22网工2 23春
2230821068 90 76 80 22网工2 23春
2230821069 86 78 80 22网工2 23春
2230821070 84 73 76 22网工2 23春
2230821071 88 69 75 22网工2 23春
2230821072 86 72 76 22网工2 23春
2230821073 84 64 70 22网工2 23春
2230821074 83 66 71 22网工2 23春
2230821075 92 79 83 22网工2 23春
2230821076 86 78 80 22网工2 23春
2230821077 93 85 87 22网工2 23春
2230821078 83 71 75 22网工2 23春
2230821079 83 72 75 22网工2 23春
2230821080 82 62 68 22网工2 23春
2230821081 85 72 76 22网工2 23春
2230821082 84 49 60 22网工2 23春
2230821083 85 70 75 22网工2 23春
2230821084 86 70 75 22网工2 23春
2230821085 79 60 66 22网工2 23春
2230821086 80 63 68 22网工2 23春
2230821087 83 69 73 22网工2 23春
2230821088 82 66 71 22网工2 23春
2230821089 87 70 75 22网工2 23春
2230821090 85 70 75 22网工2 23春
2230821091 76 47 56 22网工2 23春
2230821092 83 64 70 22网工2 23春
2230821093 85 75 78 22网工2 23春
2230821094 88 84 85 22网工2 23春
2230821095 88 79 82 22网工2 23春
2230821096 81 66 71 22网工2 23春
2230821097 81 67 71 22网工2 23春
2230821098 83 68 73 22网工2 23春
2230821099 83 67 72 22网工2 23春
2230821100 87 74 78 22网工2 23春
2230818001 94 69 77 22物联1 23春
2230818002 94 68 76 22物联1 23春
2230818003 85 59 67 22物联1 23春
2230818004 84 53 62 22物联1 23春
2230818005 84 50 60 22物联1 23春
2230818006 90 64 72 22物联1 23春
2230818007 90 66 73 22物联1 23春
2230818008 98 81 86 22物联1 23春
2230818009 91 64 72 22物联1 23春
2230818010 92 70 77 22物联1 23春
2230818011 92 67 75 22物联1 23春
2230818012 91 65 73 22物联1 23春
2230818013 88 59 68 22物联1 23春
2230818014 97 74 81 22物联1 23春
2230818015 88 60 68 22物联1 23春
2230818016 88 60 68 22物联1 23春
2230818017 78 38 50 22物联1 23春
2230818018 95 74 80 22物联1 23春
2230818019 93 72 78 22物联1 23春
2230818020 96 75 81 22物联1 23春
2230818021 98 81 86 22物联1 23春
2230818022 98 81 86 22物联1 23春
2230818023 87 59 67 22物联1 23春
2230818024 91 68 75 22物联1 23春
2230818025 89 64 72 22物联1 23春
2230818026 95 77 82 22物联1 23春
2230818027 88 67 73 22物联1 23春
2230818028 93 70 77 22物联1 23春
2230818029 92 67 75 22物联1 23春
2230818030 97 80 85 22物联1 23春
2230818031 93 72 78 22物联1 23春
2230818032 92 67 75 22物联1 23春
2230818033 87 53 63 22物联1 23春
2230818034 92 68 75 22物联1 23春
2230818035 93 74 80 22物联1 23春
2230818036 98 80 85 22物联1 23春
2230818037 86 53 63 22物联1 23春
2230818038 91 68 75 22物联1 23春
2230818039 98 84 88 22物联1 23春
2230818040 88 60 68 22物联1 23春
2230818041 99 88 91 22物联1 23春
2230818042 94 70 77 22物联1 23春
2230818043 91 63 71 22物联1 23春
2230818044 91 63 71 22物联1 23春
2230818045 83 55 63 22物联1 23春
2230818046 98 80 85 22物联1 23春
2230818047 84 52 62 22物联1 23春
2230818048 93 72 78 22物联1 23春
2230818049 91 64 72 22物联1 23春
2230818050 92 67 75 22物联1 23春
2230818102 98 76 83 22物联1 23春
2230818051 90 66 73 22物联2 23春
2230818052 93 69 76 22物联2 23春
2230818053 90 69 75 22物联2 23春
2230818054 88 60 68 22物联2 23春
2230818055 95 77 82 22物联2 23春
2230818056 92 69 76 22物联2 23春
2230818057 93 69 76 22物联2 23春
2230818058 90 61 70 22物联2 23春
2230818059 98 83 88 22物联2 23春
2230818060 87 59 67 22物联2 23春
2230818061 89 56 66 22物联2 23春
2230818062 96 85 88 22物联2 23春
2230818063 93 79 83 22物联2 23春
2230818064 92 69 76 22物联2 23春
2230818065 95 70 78 22物联2 23春
2230818066 94 68 76 22物联2 23春
2230818067 98 79 85 22物联2 23春
2230818068 99 87 91 22物联2 23春
2230818069 89 62 70 22物联2 23春
2230818070 93 69 76 22物联2 23春
2230818071 88 59 68 22物联2 23春
2230818072 91 73 78 22物联2 23春
2230818073 94 75 81 22物联2 23春
2230818074 91 79 83 22物联2 23春
2230818075 97 80 85 22物联2 23春
2230818076 92 70 77 22物联2 23春
2230818077 90 66 73 22物联2 23春
2230818078 92 65 73 22物联2 23春
2230818079 84 51 61 22物联2 23春
2230818080 96 74 81 22物联2 23春
2230818081 92 69 76 22物联2 23春
2230818082 84 53 62 22物联2 23春
2230818083 95 75 81 22物联2 23春
2230818084 95 81 85 22物联2 23春
2230818085 90 65 73 22物联2 23春
2230818086 92 67 75 22物联2 23春
2230818087 97 74 81 22物联2 23春
2230818088 99 88 91 22物联2 23春
2230818089 89 66 73 22物联2 23春
2230818090 96 80 85 22物联2 23春
2230818091 92 72 78 22物联2 23春
2230818092 93 67 75 22物联2 23春
2230818093 95 74 80 22物联2 23春
2230818094 93 71 78 22物联2 23春
2230818095 88 56 66 22物联2 23春
2230818096 90 62 70 22物联2 23春
2230818097 90 66 73 22物联2 23春
2230818098 93 68 76 22物联2 23春
2230818099 96 73 80 22物联2 23春
2230818100 96 75 81 22物联2 23春
2230818101 98 77 83 22物联2 23春
2030520064 91 65 73 重修 23春
2130617029 97 76 82 重修 23春
2130617054 100 82 87 重修 23春
2130617063 87 58 67 重修 23春
2130612013 92 70 77 重修 23春
2130516006 80 42 53 重修 23春
2130516011 90 69 75 重修 23春
2130521005 89 55 65 重修 23春
2130619007 88 65 72 重修 23春
2130619016 88 -1 0 重修 23春
2130619019 88 58 67 重修 23春
2130619091 94 77 82 重修 23春
2130619080 93 68 76 重修 23春
2130620003 83 51 61 重修 23春
2130620007 67 14 30 重修 23春
2130620014 96 76 82 重修 23春
2130620017 86 50 61 重修 23春
2130620019 94 67 75 重修 23春
2130620031 93 69 76 重修 23春
2130620038 80 43 54 重修 23春
2130620043 89 62 70 重修 23春
2130620045 91 69 76 重修 23春
2130620049 90 71 77 重修 23春
2130622042 93 68 76 重修 23春
2130622068 90 66 73 重修 23春
2130622092 98 80 85 重修 23春
2130823003 90 69 75 重修 23春
2130823083 94 75 81 重修 23春
2130618003 93 62 71 重修 23春
2030618134 95 66 75 重修 23春
2130618073 86 53 63 重修 23春
2130520006 73 26 40 重修 23春
2130520020 98 79 85 重修 23春
2130520054 99 85 89 重修 23春
2130520055 95 81 85 重修 23春
2130520084 95 78 83 重修 23春
2130821005 90 70 76 重修 23春
2130821016 93 69 76 重修 23春
2130821017 85 58 66 重修 23春
2130821045 90 69 75 重修 23春
1910818070 91 65 73 重修 23春
2130818053 85 59 67 重修 23春
2130818062 91 64 72 重修 23春
2130818094 92 68 75 重修 23春
2130818127 94 69 77 重修 23春
2130818135 94 76 81 重修 23春
2130621008 90 65 73 重修 23春
2130621029 88 -1 0 重修 23春
2130621077 92 70 77 重修 23春
2130621083 93 61 71 重修 23春
2130621092 97 72 80 重修 23春
2030511008 96 84 88 重修 23春
2030511016 92 77 82 重修 23春
2030511030 95 76 82 重修 23春
