#学号 平时 期末 总分 班级 学期
2130619082 93 76 81 21机械2 22春
2130619083 96 61 72 21机械2 22春
2130619084 98 80 85 21机械2 22春
2130619085 86 23 42 21机械2 22春
2130619086 93 39 55 21机械2 22春
2130619087 95 78 83 21机械2 22春
2130619088 80 37 50 21机械2 22春
2130619089 93 82 85 21机械2 22春
2130619090 89 43 57 21机械2 22春
2030520019 96 51 65 20土木工程1 22春
2130726063 89 73 78 21数据1 22春
2130823001 94 62 72 21数据1 22春
2130823002 94 56 67 21数据1 22春
2130823003 67 33 43 21数据1 22春
2130823004 100 53 67 21数据1 22春
2130823005 99 85 89 21数据1 22春
2130823006 88 87 87 21数据1 22春
2130823007 98 58 70 21数据1 22春
2130823008 96 73 80 21数据1 22春
2130823009 91 45 59 21数据1 22春
2130823010 97 95 96 21数据1 22春
2130823011 90 73 78 21数据1 22春
2130823012 92 77 82 21数据1 22春
2130823013 83 35 49 21数据1 22春
2130823014 70 38 48 21数据1 22春
2130823015 98 67 76 21数据1 22春
2130823016 88 65 72 21数据1 22春
2130823017 97 55 68 21数据1 22春
2130823018 97 83 87 21数据1 22春
2130823019 100 95 97 21数据1 22春
2130823020 96 58 69 21数据1 22春
2130823021 98 97 97 21数据1 22春
2130823022 100 64 75 21数据1 22春
2130823023 97 88 91 21数据1 22春
2130823024 79 30 45 21数据1 22春
2130823025 99 41 58 21数据1 22春
2130823026 98 53 67 21数据1 22春
2130823027 93 41 57 21数据1 22春
2130823028 100 35 55 21数据1 22春
2130823029 99 37 56 21数据1 22春
2130823030 99 67 77 21数据1 22春
2130823031 98 25 47 21数据1 22春
2130823032 93 67 75 21数据1 22春
2130823033 94 52 65 21数据1 22春
2130823034 95 68 76 21数据1 22春
2130823035 98 72 80 21数据1 22春
2130823036 94 34 52 21数据1 22春
2130823037 96 52 65 21数据1 22春
2130823038 100 78 85 21数据1 22春
2130823039 94 74 80 21数据1 22春
2130823040 96 93 94 21数据1 22春
2130823041 99 72 80 21数据1 22春
2130823042 93 30 49 21数据1 22春
2130823043 97 76 82 21数据1 22春
2130823044 96 43 59 21数据1 22春
2130823045 94 94 94 21数据1 22春
2130823046 94 52 65 21数据1 22春
2131026046 96 64 74 21数据1 22春
1811111004 96 80 85 21数据2 22春
2130724022 100 65 76 21数据2 22春
2130724028 94 38 55 21数据2 22春
2130823047 98 62 73 21数据2 22春
2130823048 99 69 78 21数据2 22春
2130823049 98 73 81 21数据2 22春
2130823050 96 100 99 21数据2 22春
2130823051 99 82 87 21数据2 22春
2130823052 99 92 94 21数据2 22春
2130823053 69 22 36 21数据2 22春
2130823054 98 81 86 21数据2 22春
2130823055 99 74 82 21数据2 22春
2130823056 99 25 47 21数据2 22春
2130823057 94 38 55 21数据2 22春
2130823058 81 40 52 21数据2 22春
2130823059 93 22 43 21数据2 22春
2130823060 97 50 64 21数据2 22春
2130823061 100 64 75 21数据2 22春
2130823062 92 78 82 21数据2 22春
2130823063 98 81 86 21数据2 22春
2130823064 78 31 45 21数据2 22春
2130823065 99 75 82 21数据2 22春
2130823066 96 50 64 21数据2 22春
2130823067 97 26 47 21数据2 22春
2130823068 96 87 90 21数据2 22春
2130823069 95 50 64 21数据2 22春
2130823070 82 50 60 21数据2 22春
2130823073 96 48 62 21数据2 22春
2130823074 95 69 77 21数据2 22春
2130823076 96 34 53 21数据2 22春
2130823077 100 69 78 21数据2 22春
2130823078 98 67 76 21数据2 22春
2130823079 100 67 77 21数据2 22春
2130823080 80 92 88 21数据2 22春
2130823081 98 96 97 21数据2 22春
2130823082 95 76 82 21数据2 22春
2130823083 75 40 51 21数据2 22春
2130823084 99 86 90 21数据2 22春
2130823085 88 57 66 21数据2 22春
2130823086 88 71 76 21数据2 22春
2130823087 98 69 78 21数据2 22春
2130823088 93 87 89 21数据2 22春
2130823089 93 79 83 21数据2 22春
2130823090 100 61 73 21数据2 22春
2130823091 97 42 59 21数据2 22春
2140615002 96 74 81 21应电 22春
2140615003 82 55 63 21应电 22春
2140615005 91 58 68 21应电 22春
2140615006 94 71 78 21应电 22春
2140615007 97 77 83 21应电 22春
2140615009 78 71 73 21应电 22春
2140615010 97 72 80 21应电 22春
2140615011 94 67 75 21应电 22春
2140615012 99 77 84 21应电 22春
2140615014 93 75 80 21应电 22春
2140615015 93 78 83 21应电 22春
2140615016 94 70 77 21应电 22春
2140615017 94 55 67 21应电 22春
2140615018 96 71 79 21应电 22春
2140615020 97 79 84 21应电 22春
2140615022 92 49 62 21应电 22春
2140615024 96 77 83 21应电 22春
2140615027 99 75 82 21应电 22春
2140615028 97 65 75 21应电 22春
2140615030 92 79 83 21应电 22春
2140615031 96 79 84 21应电 22春
2140615032 99 77 84 21应电 22春
2140615033 94 72 79 21应电 22春
2140615034 92 68 75 21应电 22春
2140615035 100 83 88 21应电 22春
2140615036 85 52 62 21应电 22春
2140615037 96 87 90 21应电 22春
2140615038 84 84 84 21应电 22春
2140615039 100 85 90 21应电 22春
2140615040 96 74 81 21应电 22春
2140615041 91 84 86 21应电 22春
2140615042 87 78 81 21应电 22春
2140615044 94 72 79 21应电 22春
2140615045 96 77 83 21应电 22春
2140615046 95 50 64 21应电 22春
2140615047 90 75 80 21应电 22春
2140615049 95 81 85 21应电 22春
2140615050 99 72 80 21应电 22春
2141327042 94 79 84 21应电 22春
2130621001 82 35 49 21制造1 22春
2130621002 96 64 74 21制造1 22春
2130621003 69 42 50 21制造1 22春
2130621004 98 37 55 21制造1 22春
2130621005 87 45 58 21制造1 22春
2130621006 98 44 60 21制造1 22春
2130621007 93 11 36 21制造1 22春
2130621008 75 19 36 21制造1 22春
2130621009 93 39 55 21制造1 22春
2130621010 92 56 67 21制造1 22春
2130621011 98 61 72 21制造1 22春
2130621012 96 42 58 21制造1 22春
2130621013 99 58 70 21制造1 22春
2130621014 88 67 73 21制造1 22春
2130621015 96 66 75 21制造1 22春
2130621016 69 23 37 21制造1 22春
2130621017 94 41 57 21制造1 22春
2130621018 86 46 58 21制造1 22春
2130621019 99 88 91 21制造1 22春
2130621020 95 68 76 21制造1 22春
2130621021 100 65 76 21制造1 22春
2130621022 97 50 64 21制造1 22春
2130621023 100 57 70 21制造1 22春
2130621024 93 61 71 21制造1 22春
2130621025 99 58 70 21制造1 22春
2130621026 93 54 66 21制造1 22春
2130621027 94 53 65 21制造1 22春
2130621029 99 35 54 21制造1 22春
2130621030 92 24 44 21制造1 22春
2130621031 87 30 47 21制造1 22春
2130621032 97 31 51 21制造1 22春
2130621033 95 35 53 21制造1 22春
2130621034 100 91 94 21制造1 22春
2130621035 92 48 61 21制造1 22春
2130621036 97 78 84 21制造1 22春
2130621037 95 66 75 21制造1 22春
2130621038 96 60 71 21制造1 22春
2130621039 86 37 52 21制造1 22春
2130621040 94 28 48 21制造1 22春
2130621041 99 52 66 21制造1 22春
2130621042 91 81 84 21制造1 22春
2130621043 96 66 75 21制造1 22春
2130621044 99 30 51 21制造1 22春
2130621045 94 89 91 21制造1 22春
2130621046 99 95 96 21制造1 22春
2130621047 93 41 57 21制造1 22春
2130621048 99 58 70 21制造2 22春
2130621049 81 77 78 21制造2 22春
2130621050 100 93 95 21制造2 22春
2130621051 99 63 74 21制造2 22春
2130621052 98 62 73 21制造2 22春
2130621054 99 49 64 21制造2 22春
2130621055 96 78 83 21制造2 22春
2130621056 100 41 59 21制造2 22春
2130621057 98 40 57 21制造2 22春
2130621058 100 46 62 21制造2 22春
2130621059 99 73 81 21制造2 22春
2130621060 98 65 75 21制造2 22春
2130621062 100 95 97 21制造2 22春
2130621063 100 88 92 21制造2 22春
2130621064 95 68 76 21制造2 22春
2130621065 88 45 58 21制造2 22春
2130621066 93 61 71 21制造2 22春
2130621068 96 79 84 21制造2 22春
2130621069 98 92 94 21制造2 22春
2130621070 94 64 73 21制造2 22春
2130621071 100 75 83 21制造2 22春
2130621072 98 90 92 21制造2 22春
2130621073 99 79 85 21制造2 22春
2130621075 95 86 89 21制造2 22春
2130621076 95 36 54 21制造2 22春
2130621077 87 33 49 21制造2 22春
2130621078 91 55 66 21制造2 22春
2130621079 93 59 69 21制造2 22春
2130621080 97 69 77 21制造2 22春
2130621081 94 48 62 21制造2 22春
2130621082 100 34 54 21制造2 22春
2130621083 92 32 50 21制造2 22春
2130621084 100 86 90 21制造2 22春
2130621085 100 95 97 21制造2 22春
2130621086 93 74 80 21制造2 22春
2130621087 99 65 75 21制造2 22春
2130621088 98 64 74 21制造2 22春
2130621089 89 56 66 21制造2 22春
2130621090 100 94 96 21制造2 22春
2130621091 99 70 79 21制造2 22春
2130621092 71 20 35 21制造2 22春
2130621093 99 86 90 21制造2 22春
1810612066 100 95 97 21电子1 22秋
2130612001 97 92 94 21电子1 22秋
2130612002 93 93 93 21电子1 22秋
2130612003 88 68 74 21电子1 22秋
2130612004 98 92 94 21电子1 22秋
2130612005 98 75 82 21电子1 22秋
2130612006 84 67 72 21电子1 22秋
2130612008 86 78 80 21电子1 22秋
2130612009 87 78 81 21电子1 22秋
2130612010 89 77 81 21电子1 22秋
2130612011 83 69 73 21电子1 22秋
2130612012 86 84 85 21电子1 22秋
2130612013 86 74 78 21电子1 22秋
2130612014 95 79 84 21电子1 22秋
2130612015 92 72 78 21电子1 22秋
2130612016 90 78 82 21电子1 22秋
2130612017 91 94 93 21电子1 22秋
2130612018 97 77 83 21电子1 22秋
2130612019 100 97 98 21电子1 22秋
2130612020 87 61 69 21电子1 22秋
2130612021 98 79 85 21电子1 22秋
2130612022 88 76 80 21电子1 22秋
2130612023 97 84 88 21电子1 22秋
2130612024 95 81 85 21电子1 22秋
2130612025 84 88 87 21电子1 22秋
2130612026 76 20 37 21电子1 22秋
2130612027 93 74 80 21电子1 22秋
2130612028 92 72 78 21电子1 22秋
2130612029 92 93 93 21电子1 22秋
2130612031 86 84 85 21电子1 22秋
2130612032 88 72 77 21电子1 22秋
2130612033 84 56 64 21电子1 22秋
2130612034 95 54 66 21电子1 22秋
2130612035 95 72 79 21电子1 22秋
2130612036 92 71 77 21电子1 22秋
2130612037 67 69 68 21电子1 22秋
2130612038 89 77 81 21电子1 22秋
2130612039 96 91 93 21电子1 22秋
2130612040 92 68 75 21电子1 22秋
2130612041 83 67 72 21电子1 22秋
2130612042 84 72 76 21电子1 22秋
2130612043 91 84 86 21电子1 22秋
2130612044 90 49 61 21电子1 22秋
2130722083 91 77 81 21电子1 22秋
2130516001 67 80 76 21工程管理 22秋
2130516002 72 75 74 21工程管理 22秋
2130516003 90 82 84 21工程管理 22秋
2130516004 68 74 72 21工程管理 22秋
2130516005 65 86 80 21工程管理 22秋
